x,y
3,36.68639053
4,37.27810651
5,17.75147929
6,36.09467456
7,26.62721893
8,44.9704142
9,53.84615385
10,62.72189349
11,72.78106509
12,44.9704142
13,53.84615385
14,54.43786982
15,44.9704142
16,53.84615385
