x,y
1,29.74683544
2,29.74683544
3,36.70886076
4,9.493670886
5,26.58227848
6,26.58227848
7,17.08860759
8,8.860759494
9,18.98734177
10,10.75949367
11,30.37974684
12,27.21518987
13,14.55696203
14,63.29113924
15,50.63291139
16,72.15189873
17,63.29113924
